curso,date,field,plataforma,id,link
Introduction to AWS Boto in Python,2023-02-06,CLOUD,DataCamp,"#23,179,911",https://www.datacamp.com/statement-of-accomplishment/course/321c4f45e8a5d40f2ed59217d9dc1a01e8651c5c?raw=1
Introduction to Big Data with PySpark Course,2022-12-12,BIG DATA,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/895f3c0e3a564e9abea6f431ce5d87cc
Cleaning Data with PySpark,2022-11-15,BIG DATA,DataCamp,"#23,931,785",https://www.datacamp.com/statement-of-accomplishment/course/894911f368f19e6318f641a3331e42f67e965244?raw=1
AWS Lambda - A Practical Guide,2022-10-20,CLOUD,Udemy,,https://www.udemy.com/certificate/UC-b9c2e1b6-7f3c-4a5a-b579-57fad0a255f5/
Getting Started with AWS Glue,2022-10-14,CLOUD,AWS Skill Builder,,https://github.com/s33ding/myCertificates/blob/main/AWS_SkillBuilder_Glue.pdf
Big Data Fundamentals with PySpark,2022-10-13,BIG DATA,DataCamp,"#24,143,835",https://www.datacamp.com/statement-of-accomplishment/course/99e35d34dbbfe913b9f469f775eb46a190cde644
Introduction to SQL Server,2022-09-17,DBA,DataCamp,"#23,941,546",https://www.datacamp.com/statement-of-accomplishment/course/06eccba90ece050c5c1c59236b61dcf69c2be37e
AWS Lambda Foundations ,2022-08-13,CLOUD,AWS Skill Builder,,https://github.com/s33ding/myCertificates/blob/main/awsSkillBuilder_AWS_Lambda.pdf
Foundations of Probability in Python,2022-06-23,DATA SCIENCE,DataCamp,"#23,658,435",https://www.datacamp.com/statement-of-accomplishment/course/4636b707c8dcdc8695fb3940c2ffc85cc1aa0579
Introduction to Scala,2022-05-05,BIG DATA,DataCamp,"#23,144,363",https://www.datacamp.com/statement-of-accomplishment/course/3672dd6b97120d9ca202d3f8bd028ff67831b428
introduction to pyspark,2022-04-20,BIG DATA,DataCamp,"#22,441,529",https://github.com/s33ding/myCertificates/blob/main/datacamp_introduction%20to%20pyspark.pdf
Creating PostgreSQL Databases,2022-04-18,DBA,DataCamp,"#22,832,993",https://www.datacamp.com/statement-of-accomplishment/course/6328c3299dd9d01d1177435b38e8d9ce85844c54
Introduction to Airflow in Python,2022-03-04,DATA ENGINEERING,DataCamp,"#22,704,916",https://www.datacamp.com/statement-of-accomplishment/course/46d9000a6a0dbea337da8ee1f2d911c1673b3e79
Introduction to Relational Databases in SQL,2022-03-03,DBA,DataCamp,"#23,067,162",https://www.datacamp.com/statement-of-accomplishment/course/42eb4d282b095ddfaa0065907c518c5051f7b5b4
Introduction to Data Engineering,2022-02-26,DATA ENGINEERING,DataCamp,"#22,479,586",https://www.datacamp.com/statement-of-accomplishment/course/763ad4f93df0ca0ff4d1313399c3d24bd3a75c7d
Understanding Cloud Computing,2022-02-25,CLOUD,DataCamp,"#23,180,504",https://www.datacamp.com/statement-of-accomplishment/course/5b74c4928168513fa80f2ae88a75c4ff1b5378ef
Writing Efficient Code with Pandas,2022-02-24,ETL,DataCamp,"#22,694,144",https://www.datacamp.com/statement-of-accomplishment/course/a6689c0517832393c1e33fde01a539dd3d60544d
Introduction to Bash Scripting,2022-02-22,DATA ENGINEERING,DataCamp,"#23,119,199",https://www.datacamp.com/statement-of-accomplishment/course/03bec7f3dd48ab861f17f6e2862e594568f309be
Data Processing in Shell,2022-02-20,DATA ENGINEERING,DataCamp,"#23,107,761",https://www.datacamp.com/statement-of-accomplishment/course/b940731355ef858d9b2d990aee2d0e0348288351
Introduction to  Shell,2022-02-19,DATA ENGINEERING,DataCamp,"#22,685,188",https://www.datacamp.com/statement-of-accomplishment/course/8bb18f7a9b4f8e91cf3a0e80771d23bcef7b7cbe
Regular Expressions in Python,2022-02-15,DATA ENGINEERING,DataCamp,"#22,864,276",https://www.datacamp.com/statement-of-accomplishment/course/a8d1acb463db98dc4605613d95d4826eb0e317b7
Writing Efficient Python Code,2022-02-11,ETL,DataCamp,"#22,577,755",https://www.datacamp.com/statement-of-accomplishment/course/fc64a4364f76a49340a0bcc2ef29ed5e01bf6d96
Introduction to Power BI,2022-01-23,DATA SCIENCE,DataCamp,"#22,549,749",https://www.datacamp.com/statement-of-accomplishment/course/b1edc8dcaa0e648d8d43fec7d968882cf84ae874
Python Data Science Toolbox (Part 2),2022-01-23,DATA SCIENCE,DataCamp,"#22,700,284",https://app.datacamp.com/learn/courses/python-data-science-toolbox-part-2
Streamlined Data Ingestion with Pandas,2022-01-22,DATA SCIENCE,DataCamp,"#22,671,802",https://www.datacamp.com/statement-of-accomplishment/course/2b8113ee484f7a2ad8d84e7e32ccd861c996569a?raw=1
Exploratory Data Analysis in Python,2021-12-31,DATA SCIENCE,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/33af3a7ba2bd8a4291d5188f2d436696
Learn the Basics of Regular Expressions,2021-10-10,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/9da8e26980d5139405439ee7578b8b69
How to Clean Data with Python,2021-09-06,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/e773a003314c1be60da8388a90a77e78
Learn Bash Scripting,2021-08-27,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/37c55263a9f1b1f7603f7551c293ecbd
Learn Statistics with NumPy,2021-08-22,DATA SCIENCE,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/43135f7494712f4c3b1ced1a55be7be1
Learn the Command Line,2021-08-17,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/c87ba0541f8be78bc2f4ba1128233f6f
Learn SQL Course,2021-07-16,DBA,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/042a4e5884e3eb6ea1f2a12be6abb851
Learn Python 3,2021-04-14,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/6c152bd262967f8c941c9707ed636bda
Learn Data Analysis with Pandas,2021-02-10,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/95dd3ed417d7d6c449afffc6401b310a
English,2020-10-31,ENGLISH,TOEFL,,https://github.com/s33ding/myCertificates/blob/main/english_TOEFL_my_score.pdf
English,2017-07-01,ENGLISH,Casa Thomas Jefferson,,https://github.com/s33ding/myCertificates/blob/main/english_Casa%20Thomas%20Jefferson.pdf